benchmark,seed,project_id,base_model_id,model_id,solution,nmse_test,nmse_test_noiseless,success
Nguyen-5,11,63aa4c8bb51dc8ac0a3f71d0,63aa5392094ab2781b065ede,63aa54d6094ab2781b065fd9,cos(x1)*sin(x1^2) - cos(x1^2 - x1^2),2.0524541829413397e-31,2.0524541829413397e-31,True
Nguyen-6,11,63aa4c8b95a9f19e3d3f7431,63aa52380dbd306bda7c2b5a,63aa54f0d0a1d299a6065ea2,sin(x1) + sin(x1 + x1^2),4.309040634736071e-33,4.309040634736071e-33,True
Nguyen-9,11,63aa4d30fd56d272529b1acf,63aa5255094ab2781b065dd5,63aa5521aeaf709d1f7c2a1a,sin(x1) + sin(x2^2 + x1*x2^3 - x1*x2^3),6.561870359367409e-32,6.561870359367409e-32,True
Nguyen-8,11,63aa4c8b07c9d0fcdf3f73ac,63aa52448991ac9fbc7c2bb5,63aa54fcd0a1d299a6065eb3,log(x1 + log(x1 + x1*log(x1) + exp(x1 + cos(x1)) - log(x1)*sin(sin(x1) - x1*log(x1)*cos(sin(x1*cos(x1)))))),0.00013004307214217127,0.00013004307214217127,False
Nguyen-7,11,63aa4c8b7decfb212e9b17cc,63aa523de698aefb42914f29,63aa54f677be9c52e6065f0f,x1 + x1^2*exp(sin(log(x1)))/(x1 + x1^3 + sin(sin(sin(exp(sin(exp(sin(sin(x1)/exp(sin(log(x1))) - sin(exp(sin(log(x1)))))))))))),3.953034274558452e-06,3.953034274558452e-06,False
Nguyen-10,11,63aa4d4fb51dc8ac0a3f71f3,63aa5268d0a1d299a6065dfe,63aa5530aeaf709d1f7c2a2a,sin(x1 + x2) + sin(x1 - x2),1.998350329364439e-31,1.998350329364439e-31,True
Nguyen-11,11,63aa4d4fafc983806c9b1976,63aa52798991ac9fbc7c2bc8,63aa553719ac74bd0a9151df,exp((x1*x2*log(x1) + x2^2*log(x1))/(x1 + x2)),6.193864553956845e-32,6.193864553956845e-32,True
Nguyen-1,12,63aa4c8bdaeddbbfe09b1818,63aa51ebe30795689f7c2ca4,63aa5544d0a1d299a6065ecf,x1 + x1^2 + x1^3,5.208995996872335e-33,5.208995996872335e-33,True
Nguyen-2,12,63aa4c8bdaeddbbfe09b1819,63aa51f1e30795689f7c2cb5,63aa5549aeaf709d1f7c2a41,x1 + x1^2 + x1^4 + x1^4/(sin(0) + x1),2.892219201253982e-32,2.892219201253982e-32,True
Nguyen-12,11,63aa4d6440145dcdfd3f7473,63aa4e87e30795689f7c2a37,63aa553b77be9c52e6065f1e,sin(x1) + cos(sin(x1)) - x2 - cos(x2) - x1*cos(x1),0.013853110241673003,0.013853110241673003,False
Nguyen-3,12,63aa4c8b7decfb212e9b17cd,63aa51fa19ac74bd0a914f14,63aa55844bf9b3f96c915069,x1 + x1^2 + x1^3 + x1^4 + x1^5,2.710993779176282e-32,2.710993779176282e-32,True
Nguyen-6,12,63aa4c8b95a9f19e3d3f7431,63aa52380dbd306bda7c2b5a,63aa5599d0a1d299a6065ee9,sin(x1) + sin(x1 + x1^2),4.309040634736071e-33,4.309040634736071e-33,True
Nguyen-5,12,63aa4c8bb51dc8ac0a3f71d0,63aa5392094ab2781b065ede,63aa5597aeaf709d1f7c2a77,cos(x1)*sin(x1^2) - cos(x1^2 - x1^2),2.0524541829413397e-31,2.0524541829413397e-31,True
Nguyen-9,12,63aa4d30fd56d272529b1acf,63aa5255094ab2781b065dd5,63aa55a8d0a1d299a6065ef7,sin(x1) + sin(x2^2),4.6529626184605265e-32,4.6529626184605265e-32,True
Nguyen-7,12,63aa4c8b7decfb212e9b17cc,63aa523de698aefb42914f29,63aa55a0094ab2781b066091,log(1 + x1 + x1^2 + x1^3),1.725327204385881e-32,1.725327204385881e-32,True
Nguyen-4,12,63aa4c8b9aa9915ada3f7220,63aa521a19ac74bd0a914f2e,63aa5589094ab2781b066075,x1*exp(x1^3) + x1^2*exp(sin(x1)/cos(sin(x1)*cos(x1^5/exp(x1^5)))),0.00042605321434043876,0.00042605321434043876,False
Nguyen-10,12,63aa4d4fb51dc8ac0a3f71f3,63aa5268d0a1d299a6065dfe,63aa55af4bf9b3f96c915076,x1*cos(x2) + sin(sin(x1))*cos(x2 + x1*cos(x2*sin(x2)/sin(x1)) - sin(x1*cos(x2*sin(x2)/sin(x1)))),0.00010114317181323012,0.00010114317181323012,False
Nguyen-11,12,63aa4d4fafc983806c9b1976,63aa52798991ac9fbc7c2bc8,63aa5602d40ee2070b7c2b47,exp((x1*x2*log(x1) + x2*sin(x1)*log(x1))/(x1 + sin(x1))),5.579596994886745e-32,5.579596994886745e-32,True
Nguyen-8,12,63aa4c8b07c9d0fcdf3f73ac,63aa52448991ac9fbc7c2bb5,63aa55a2aeaf709d1f7c2a8a,log(x1 + log(x1^2*sin(sin(x1 + sin(sin(x1))/x1 + cos(x1))) + sin(sin(x1 + cos(x1*sin(x1))))/(x1 + x1^2 + sin(x1) + cos(x1) - x1*cos(x1 + x1^2)) + exp(x1 + cos(x1)))),0.0007908563460192604,0.0007908563460192604,False
Nguyen-1,13,63aa4c8bdaeddbbfe09b1818,63aa51ebe30795689f7c2ca4,63aa5605dd44135405915127,x1 + x1^3 + x1^2*exp(sin(x1^2 - x1^2)),4.310409086360665e-33,4.310409086360665e-33,True
Nguyen-2,13,63aa4c8bdaeddbbfe09b1819,63aa51f1e30795689f7c2cb5,63aa560caeaf709d1f7c2abd,x1 + x1^2 + x1^3 + x1^4,2.892219201253982e-32,2.892219201253982e-32,True
Nguyen-3,13,63aa4c8b7decfb212e9b17cd,63aa51fa19ac74bd0a914f14,63aa5613aeaf709d1f7c2acc,x1 + x1^2 + x1^3 + x1^4 + x1^5 + x1^6 - x1^6,2.7009460839094717e-32,2.7009460839094717e-32,True
Nguyen-12,12,63aa4d6440145dcdfd3f7473,63aa4e87e30795689f7c2a37,63aa560319ac74bd0a915285,x2/(x1 - x2 - exp(x1^2*cos(sin(x2) - cos(log(x1)))*cos(cos(x1*x2^2*sin(x2) - x1^4)))),0.013295996303939489,0.013295996303939489,False
Nguyen-5,13,63aa4c8bb51dc8ac0a3f71d0,63aa5392094ab2781b065ede,63aa562319ac74bd0a9152a5,cos(x1)*sin(x1^2) - cos(x1^2 - x1^2),2.0524541829413397e-31,2.0524541829413397e-31,True
Nguyen-6,13,63aa4c8b95a9f19e3d3f7431,63aa52380dbd306bda7c2b5a,63aa563d19ac74bd0a9152bd,sin(x1) + sin(x1 + x1^2),4.309040634736071e-33,4.309040634736071e-33,True
Nguyen-4,13,63aa4c8b9aa9915ada3f7220,63aa521a19ac74bd0a914f2e,63aa5621aeaf709d1f7c2adf,x1 + x1^2 + x1^3 + x1^5 + x1^6 + (x1^5 + x1^6 + x1^7)/(x1 + x1^2 + x1^3),1.353733455490823e-31,1.353733455490823e-31,True
Nguyen-7,13,63aa4c8b7decfb212e9b17cc,63aa523de698aefb42914f29,63aa564eaeaf709d1f7c2b04,log(x1 + x1^2 + x1^3 + cos(x1^2 - x1^2)),3.4320897616549723e-32,3.4320897616549723e-32,True
Nguyen-8,13,63aa4c8b07c9d0fcdf3f73ac,63aa55a2aeaf709d1f7c2a8a,63aa564faeaf709d1f7c2b11,x1/log(x1 + exp(x1/(exp(sin(log(x1))) + sin(sin(exp(sin(log(x1)))))))),0.03964947126327247,0.03964947126327247,False
Nguyen-9,13,63aa4d30fd56d272529b1acf,63aa5255094ab2781b065dd5,63aa565b8bf98da21f7c288d,sin(x2^2) + sin(x1 + x2*sin(exp(x2)) - x2*sin(exp(x2))),7.51632422982085e-32,7.51632422982085e-32,True
Nguyen-10,13,63aa4d4fb51dc8ac0a3f71f3,63aa5268d0a1d299a6065dfe,63aa567c8bf98da21f7c28a5,sin(x1)*cos(x2) + cos(x2)*sin(x1 + x2*sin(x1) - x2*sin(x1)),1.2381377887559484e-31,1.2381377887559484e-31,True
Nguyen-1,14,63aa4c8bdaeddbbfe09b1818,63aa51ebe30795689f7c2ca4,63aa568caeaf709d1f7c2b29,x1 + x1^2 + x1^3,5.208995996872335e-33,5.208995996872335e-33,True
Nguyen-2,14,63aa4c8bdaeddbbfe09b1819,63aa51f1e30795689f7c2cb5,63aa5693094ab2781b066140,x1 + x1^2 + (x1^4 + x1^5)/(x1 + x1^2 - x1^2),3.3366156024542154e-32,3.3366156024542154e-32,True
Nguyen-11,13,63aa4d4fafc983806c9b1976,63aa52798991ac9fbc7c2bc8,63aa568019ac74bd0a915304,exp((x1*x2*log(x1) + x2^2*log(x1))/(x1 + x2)),6.193864553956845e-32,6.193864553956845e-32,True
Nguyen-3,14,63aa4c8b7decfb212e9b17cd,63aa51fa19ac74bd0a914f14,63aa56a7aeaf709d1f7c2b3e,x1 + x1^2 + x1^3 + x1^4 + x1^5 + x1^6 - x1^6,2.7009460839094717e-32,2.7009460839094717e-32,True
Nguyen-12,13,63aa4d6440145dcdfd3f7473,63aa4e87e30795689f7c2a37,63aa568b094ab2781b066133,cos(x1/(log(x1) + log(x1 - x1^2) - log(sin(x1)))) - sin(x2) - cos(sin(x2)),0.0017430253412575232,0.0017430253412575232,False
Nguyen-5,14,63aa4c8bb51dc8ac0a3f71d0,63aa562319ac74bd0a9152a5,63aa56c38bf98da21f7c28d8,cos(x1)*sin(x1^2) - cos(x1^2*sin(sin(x1))*sin(sin(x1 + x1^2)) - x1^2*sin(sin(x1))*sin(sin(x1 + x1^2))),2.0524541829413397e-31,2.0524541829413397e-31,True
Nguyen-6,14,63aa4c8b95a9f19e3d3f7431,63aa52380dbd306bda7c2b5a,63aa56da8bf98da21f7c28e9,sin(x1) + sin(x1 + x1^2),4.309040634736071e-33,4.309040634736071e-33,True
Nguyen-4,14,63aa4c8b9aa9915ada3f7220,63aa521a19ac74bd0a914f2e,63aa56bd19ac74bd0a91534c,x1 + x1^2 + x1^3 + x1^4 + x1^5 + x1^6,2.3501330681894087e-31,2.3501330681894087e-31,True
Nguyen-9,14,63aa4d30fd56d272529b1acf,63aa5255094ab2781b065dd5,63aa56f819ac74bd0a915375,sin(x2^2) + sin(x1 + x2^2 - x2^2),4.6529626184605265e-32,4.6529626184605265e-32,True
Nguyen-7,14,63aa4c8b7decfb212e9b17cc,63aa523de698aefb42914f29,63aa56e5aeaf709d1f7c2b62,log(1 + x1 + x1^2 + x1^3),1.725327204385881e-32,1.725327204385881e-32,True
Nguyen-10,14,63aa4d4fb51dc8ac0a3f71f3,63aa5268d0a1d299a6065dfe,63aa56fb8bf98da21f7c290c,sin(x1 + x2) + sin(x1 - x2),1.998350329364439e-31,1.998350329364439e-31,True
Nguyen-8,14,63aa4c8b07c9d0fcdf3f73ac,63aa55a2aeaf709d1f7c2a8a,63aa56f78bf98da21f7c28fd,log(x1 + exp(sin(log(x1 + cos(x1)))) + sin(sin(log(x1 + x1/(x1 + x1^3*exp(x1) + x1^3*cos(x1)*log(x1 + exp(sin(log(x1 + sin(x1)))))))))),0.0029544481388162885,0.0029544481388162885,False
Nguyen-11,14,63aa4d4fafc983806c9b1976,63aa52798991ac9fbc7c2bc8,63aa5718094ab2781b0661a7,exp(x2*log(x1)),6.142675590701004e-32,6.142675590701004e-32,True
Nguyen-1,15,63aa4c8bdaeddbbfe09b1818,63aa51ebe30795689f7c2ca4,63aa573819ac74bd0a9153c2,x1 + x1^2 + x1^3,5.208995996872335e-33,5.208995996872335e-33,True
Nguyen-2,15,63aa4c8bdaeddbbfe09b1819,63aa51f1e30795689f7c2cb5,63aa57450dbd306bda7c2beb,x1 + x1^2 + x1^3 + x1^4,2.892219201253982e-32,2.892219201253982e-32,True
Nguyen-6,15,63aa4c8b95a9f19e3d3f7431,63aa52380dbd306bda7c2b5a,63aa576019ac74bd0a9153fb,sin(x1) + sin(x1 + x1^2),4.309040634736071e-33,4.309040634736071e-33,True
Nguyen-5,15,63aa4c8bb51dc8ac0a3f71d0,63aa562319ac74bd0a9152a5,63aa575fd0a1d299a6065f7c,cos(x1)*sin(x1^2) + (sin(x1) - x1)/(x1 - sin(x1)),2.0524541829413397e-31,2.0524541829413397e-31,True
Nguyen-12,14,63aa4d6440145dcdfd3f7473,63aa4e87e30795689f7c2a37,63aa5736d0a1d299a6065f61,cos(sin(x1 + x1^4 + sin(x1) - log(x1)*sin(x1*x2^2*cos(x1 + x1^4)))/exp(cos(x1))) - sin(x2) - cos(sin(x2)),0.002689765034675167,0.002689765034675167,False
Nguyen-3,15,63aa4c8b7decfb212e9b17cd,63aa51fa19ac74bd0a914f14,63aa57568bf98da21f7c294a,sin(x1)*exp(x1^2 + sin(x1 + (x1*sin(sin(x1) - x1) + sin(sin(x1) - x1))/(x1^2 + x1*sin(x1^2) + sin(x1) + sin(x1^2)))),0.014079754440607776,0.014079754440607776,False
Nguyen-4,15,63aa4c8b9aa9915ada3f7220,63aa521a19ac74bd0a914f2e,63aa5758e698aefb42915066,x1 + (x1^3 + x1^4 + x1^5 + x1^6 + x1^7 + x1^8 + x1^7*exp(x1) - x1^2*exp(x1) - x1^3*exp(x1) - x1^4*exp(x1) - x1^5*exp(x1) - x1^6*exp(x1) - x1^8 - x1^7*exp(x1))/(x1 - exp(x1)),1.3175783039070802e-31,1.3175783039070802e-31,True
Nguyen-8,15,63aa4c8b07c9d0fcdf3f73ac,63aa55a2aeaf709d1f7c2a8a,63aa579119ac74bd0a915426,log(x1 + exp(x1/(x1 + sin(sin(x1/exp(x1^2) + sin(x1)))))),0.0068040672642599815,0.0068040672642599815,False
Nguyen-7,15,63aa4c8b7decfb212e9b17cc,63aa523de698aefb42914f29,63aa57718bf98da21f7c2972,log(1 + x1 + x1^2 + x1^3),1.725327204385881e-32,1.725327204385881e-32,True
Nguyen-9,15,63aa4d30fd56d272529b1acf,63aa5255094ab2781b065dd5,63aa57ad8bf98da21f7c29a3,sin(x1) + sin(x2^2),4.6529626184605265e-32,4.6529626184605265e-32,True
